epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.3512,1.64279,6.83132,1.16285,9e-05,0.02778,5e-05,1e-05,1.2616,5.78941,0.91285,5e-05,5e-05,5e-05
2,74.0068,1.31798,6.00635,0.95801,0,0,0,0,1.36206,5.74302,0.87699,0.00010637,0.00010637,0.00010637
3,106.178,1.42961,5.40178,0.93616,0,0,0,0,1.41866,5.72717,0.88004,0.00015878,0.00015878,0.00015878
4,138.224,1.32473,4.39682,0.88238,0,0,0,0,1.47806,5.60109,0.89886,0.00020723,0.00020723,0.00020723
5,170.379,1.30511,4.407,0.85658,0.00011,0.02778,7e-05,1e-05,1.14469,5.14453,0.85444,0.00025172,0.00025172,0.00025172
6,203.053,1.25452,3.85139,0.88195,0.00012,0.02778,7e-05,1e-05,1.06696,4.98161,0.8545,0.00029225,0.00029225,0.00029225
7,233.609,1.23874,3.55823,0.865,0.00086,0.15657,0.15778,0.10598,1.19567,4.75578,0.86421,0.00032882,0.00032882,0.00032882
8,264.987,1.2294,3.25523,0.86226,0.00181,0.28535,0.21765,0.16062,1.11863,4.72061,0.86139,0.00036143,0.00036143,0.00036143
9,297.506,1.18679,3.19258,0.85968,0.00116,0.20202,0.1587,0.11147,1.11084,4.65882,0.86825,0.00039008,0.00039008,0.00039008
10,334.611,1.0957,3.06567,0.86521,0.00116,0.20202,0.20285,0.13756,1.2232,4.53102,0.8895,0.00041477,0.00041477,0.00041477
11,366.866,1.15374,2.82943,0.8607,0.00267,0.33081,0.22649,0.16235,1.12143,4.45657,0.87445,0.0004355,0.0004355,0.0004355
12,399.983,1.20687,2.77397,0.89102,0.00704,0.56692,0.25952,0.19169,1.04599,4.42187,0.86713,0.00045227,0.00045227,0.00045227
13,431.626,1.15929,2.70555,0.85937,1,0.05366,0.4643,0.36243,1.02057,4.11821,0.86425,0.00046508,0.00046508,0.00046508
14,462.14,1.07148,2.43019,0.87502,1,0.04683,0.56689,0.40607,1.13257,3.99508,0.87705,0.00047393,0.00047393,0.00047393
15,491.935,1.06584,2.41677,0.83969,1,0.05034,0.57885,0.42357,1.09072,3.9594,0.87845,0.00047882,0.00047882,0.00047882
16,523.364,1.06538,2.30503,0.85584,1,0.08312,0.65795,0.50516,1.01029,3.599,0.87357,0.00047975,0.00047975,0.00047975
17,560.09,0.96907,2.29767,0.84073,1,0.1821,0.65686,0.4913,1.076,3.42559,0.87848,0.000472,0.000472,0.000472
18,597.677,0.88351,2.11397,0.82897,0.95727,0.43486,0.74023,0.5284,1.04973,3.1859,0.85982,0.000439,0.000439,0.000439
19,629.203,1.03353,2.17553,0.86455,0.92829,0.45578,0.73826,0.52609,1.03844,3.11114,0.85564,0.000406,0.000406,0.000406
20,660.102,0.93503,2.03779,0.85177,0.83651,0.59508,0.74798,0.52658,1.09419,2.85918,0.86025,0.000373,0.000373,0.000373
21,692.914,0.91162,2.68958,0.82622,0.90334,0.75007,0.74587,0.53655,1.09366,2.72355,0.86292,0.00034,0.00034,0.00034
22,728.901,0.87637,2.51306,0.84075,0.87611,0.67406,0.74018,0.52064,1.14114,2.64182,0.8658,0.000307,0.000307,0.000307
23,760.659,0.83615,2.43651,0.83467,0.87038,0.67832,0.73899,0.54488,1.12756,2.619,0.86753,0.000274,0.000274,0.000274
24,795.513,0.87596,2.43463,0.86205,0.7267,0.75726,0.78956,0.59928,1.01635,2.43848,0.86652,0.000241,0.000241,0.000241
25,829.636,0.81441,2.21573,0.83827,0.69458,0.75864,0.80112,0.61509,1.02138,2.33664,0.86774,0.000208,0.000208,0.000208
26,863.047,0.85042,2.33024,0.79838,0.74453,0.7619,0.85576,0.65035,1.04588,2.16793,0.86637,0.000175,0.000175,0.000175
27,895.96,0.91331,2.54379,0.84941,0.76451,0.76338,0.86031,0.64901,1.04607,2.14564,0.86579,0.000142,0.000142,0.000142
28,929.088,0.8674,2.16783,0.81422,0.79641,0.7631,0.8695,0.65089,1.00904,2.06559,0.85776,0.000109,0.000109,0.000109
29,961.901,0.87733,2.4859,0.83016,0.83272,0.74519,0.86684,0.6499,0.98381,2.02511,0.85508,7.6e-05,7.6e-05,7.6e-05
30,994.137,0.81368,2.27033,0.84017,0.84095,0.72783,0.86873,0.65805,0.93716,1.94568,0.85215,4.3e-05,4.3e-05,4.3e-05
